Full_CD8_control_1	Full_CD8_control_2	Full_CD8_control_3	Full_CD8_control_4	Full_CD4_control_1	Full_CD4_control_2	Full_CD4_control_3	Full_CD4_control_4	Full_CD8_V7_1	Full_CD8_V7_2	Full_CD8_V7_3	Full_CD8_V7_4	Full_CD4_V7_1	Full_CD4_V7_2	Full_CD4_V7_3	Full_CD4_V7_4
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	54.2858722449714	156.643889858114	240.737711088713	325.843044551531	20.4520156088566	689.061930347796	10.3013844803399	8.21132722527591	2.79911193249699	37.882179711915	333.403376739013	787.978104113263	663.327781457136	874.7043364442	806.460578907134	786.568792377068
KLHL17	0.96939057580306	2.2218991469236	5.53420025491295	0	0	13.5820354207844	0	2.34609349293598	0	6.79936558931808	6.90991454381373	31.0927098579078	22.1725163718263	4.8866164047162	7.53701475614143	3.4803928866242
PLEKHN1	0	0	0	0	0	4.52734514026147	4.12055379213595	0	0	0	0	0	0	0	7.53701475614143	1.7401964433121
PERM1	0	0	0	0	0	0	0	0	0	0	0	2.6650894163921	0	0.97732328094324	5.02467650409429	3.4803928866242
HES4	0	1.1109495734618	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISG15	31.0204984256979	67.7679239811697	629.976462350924	504.501304774387	27.5315594734608	5508.87356667016	37.0849841292235	11.7304674646799	6.99777983124248	8.74204147198039	306.627457881734	3695.59065739704	5402.703155935	5653.81518025664	5106.74622032783	3858.88561304458
AGRN	0	3.3328487203854	0	0.92569046747594	2.35984795486807	0	0	1.17304674646799	0	0	0	2.6650894163921	6.46698394178266	7.81858624754592	0	2.61029466496815
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7401964433121
C1orf159	0.96939057580306	4.44379829384719	0	0.92569046747594	0.786615984956022	40.7461062623532	1.03013844803399	4.69218698587195	1.3995559662485	0.971337941331154	0.863739317976717	136.807923374794	89.6139203361312	3.90929312377296	111.38032917409	24.3627502063694
TTLL10	0	0	3.68946683660863	6.47983327233158	0	0	2.06027689606797	0	0	0	0	0	1.84770969765219	0	0	1.7401964433121
TNFRSF18	2.90817172740918	4.44379829384719	2.76710012745647	2.77707140242782	6.29292787964818	15.392973476889	5.15069224016994	2.34609349293598	0	0.971337941331154	2.59121795393015	28.4276204415157	69.2891136619571	12.7052026522621	54.4339954610215	24.3627502063694
TNFRSF4	0.96939057580306	4.44379829384719	0.922366709152158	0	14.1590877292084	28.0695398696211	14.4219382724758	7.03828047880793	1.3995559662485	1.94267588266231	1.72747863595343	139.473012791186	396.333730146395	30.2970217092404	211.03641317196	65.2573666242037
SDF4	28.1123266982887	29.9956384834686	24.9039011471083	62.021261320888	29.8914074283288	101.412531141857	59.7480299859713	30.4992154081677	19.5937835274789	13.5987311786362	49.2331411246728	82.617771908155	256.831647973654	38.1156079567863	103.843314417949	111.372572371974
B3GALT6	39.7450136079255	197.7490240762	40.5841352026949	29.6220949592301	154.17673305138	95.9797169735431	90.6521834269909	37.5374958869756	53.1831267174428	83.5350629544793	57.87053430444	95.9432189901155	101.62403337087	75.2538926326295	139.016049946609	132.254929691719
C1QTNF12	0	0	0	0	0	6.33828319636606	0	0	0	0	0	0	0	0	0	0.870098221656049
UBE2J2	25.2041549708796	26.6627897630832	82.090637114542	30.547785426706	6.29292787964818	109.561752394328	12.3616613764078	11.7304674646799	23.7924514262244	16.5127450026296	70.8266240740908	158.128638705931	122.872694893871	140.734552455827	118.917343930232	151.397090568153
SCNN1D	0	0	0	0.92569046747594	2.35984795486807	0	1.03013844803399	0	0	0	0	0	0.923854848826095	0	0	0
ACAP3	3.87756230321224	4.44379829384719	0	2.77707140242782	0.786615984956022	24.4476637574119	2.06027689606797	3.51914023940396	0	3.88535176532462	18.138525677511	19.543989053542	7.39083879060876	3.90929312377296	0	16.5318662114649
PUSL1	0.96939057580306	5.55474786730899	25.8262678562604	18.5138093495188	3.14646393982409	17.2039115329936	1.03013844803399	0	0	0	19.0022649954878	51.5250620502472	18.4770969765219	1.95464656188648	31.8229511925972	30.4534377579617
INTS11	49.4389193659561	101.096411185024	817.216904308812	506.352685709339	8.65277583451624	1170.77145327162	18.5424920646118	24.6339816758277	23.7924514262244	5.82802764798693	322.174765605315	1303.22872461574	870.271267594181	976.345957662297	736.952553933829	759.595747505731
CPTP	1.93878115160612	2.2218991469236	3.68946683660863	3.70276186990376	1.57323196991204	27.1640708415688	7.21096913623791	4.69218698587195	2.79911193249699	0.971337941331154	0.863739317976717	1.77672627759473	39.7257584995221	9.7732328094324	20.9361521003929	26.9730448713375
TAS1R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.2365834282672	0
DVL1	6.78573403062142	7.77664701423259	13.8355006372824	7.40552373980752	3.14646393982409	25.3531327854642	3.09041534410196	9.3843739717439	0	3.88535176532462	3.45495727190687	17.7672627759473	26.7917906159568	5.86393968565944	16.7489216803143	28.7132413146496
MXRA8	0	0	0.922366709152158	0	0	10.8656283366275	0	0	0	0	0	0	0	0	0	14.7916697681528
AURKAIP1	72.7042931852295	156.643889858114	112.528738516563	141.630641523819	55.8497349318776	314.197752734146	70.0494144663111	35.1914023940396	5.59822386499398	9.71337941331154	98.4662822493457	1146.8768121874	786.200476351007	82.0951555992321	451.38343928447	293.223100698089
