Full_CD4_V7_1	Full_CD4_V7_2	Full_CD4_V7_3	Full_CD4_V7_4	Full_CD4_monomer_1	Full_CD4_monomer_2	Full_CD4_monomer_3	Full_CD4_monomer_4	Full_CD4_control_1	Full_CD4_control_2	Full_CD4_control_3	Full_CD4_control_4
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	718.413274546841	947.390026376442	872.821631371993	848.001413115536	814.126639228262	940.462541178791	608.599038155816	205.335504684836	21.7112494238988	748.474738560422	11.4238167142097	8.81897337732608
KLHL17	24.0138141909808	5.29268171160024	8.15721150814946	3.75221864210414	14.9785204187018	2.44064673316295	28.5280799135539	5.92313955821642	0	14.75311574035	0	2.51970667923602
PLEKHN1	0	0	8.15721150814946	1.87610932105207	0	1.62709782210863	10.30180663545	0	0	4.91770524678332	4.5695266856839	0
PERM1	0	1.05853634232005	5.43814100543298	3.75221864210414	22.0272359098556	0.813548911054317	0	0	0	0	0	0
HES4	0	0	0	0	0	0	0	0	0	0	0	0
ISG15	5851.36605786898	6123.63274032147	5526.96397518838	4160.27241943297	3777.23041382204	5048.07099309204	4433.73908656483	410.671009369672	29.2266819167869	5983.86374428595	41.1257401711551	12.5985333961801
AGRN	7.00402913903606	8.46829073856038	0	2.81416398157811	0	5.69484237738022	0.792446664265386	4.93594963184702	2.50514416429602	0	0	1.25985333961801
RNF223	0	0	0	1.87610932105207	0	0	0	0	0	0	0	0
C1orf159	97.055832355214	4.23414536928019	120.545458953764	26.265530494729	39.64902463774	45.5587390190418	27.7356332492885	0	0.83504805476534	44.2593472210499	1.14238167142097	5.03941335847204
TTLL10	2.00115118258173	0	0	1.87610932105207	0	0	20.6036132709	0	0	0	2.28476334284195	0
TNFRSF18	75.0431693468149	13.7609724501606	58.9131942255239	26.265530494729	63.4384394203841	11.3896847547604	19.8111666066346	11.8462791164328	6.68038443812272	16.7201978390633	5.71190835710487	2.51970667923602
TNFRSF4	429.246928663781	32.8146266119215	228.401922228185	70.3540995394527	911.046477231627	21.1522716874123	38.8298865490039	11.8462791164328	15.0308649857761	30.4897725300566	15.9933433998936	7.55912003770807
SDF4	278.160014378861	41.2829173504818	112.388247445615	120.070996547333	95.1576591305761	94.3716736823008	64.1881798054962	53.3082560239478	31.7318260810829	110.156597527946	66.2581369424165	32.7561868300683
B3GALT6	110.063315041995	81.5072983586436	150.455234483646	142.584308399957	81.9413175846628	66.711010706454	75.2824331052116	143.142539323564	163.669418734007	104.255351231806	100.529587085046	40.3153068677763
C1QTNF12	0	0	0	0.938054660526036	0.881089436394223	0	0	0	0	6.88478734549665	0	0
UBE2J2	133.076553641685	152.429233294087	128.702670461914	163.22151093153	129.520147149951	165.963977855081	143.432846232035	32.5772675701903	6.68038443812272	119.008466972156	13.7085800570517	12.5985333961801
SCNN1D	1.00057559129087	0	0	0	0	1.62709782210863	1.58489332853077	0.987189926369404	2.50514416429602	0	1.14238167142097	0
ACAP3	8.00460473032692	4.23414536928019	0	17.8230385499947	7.92980492754801	11.3896847547604	7.92446664265386	2.96156977910821	0.83504805476534	26.5556083326299	2.28476334284195	3.77956001885403
PUSL1	20.0115118258173	2.11707268464009	34.4415597010755	32.8319131184112	26.4326830918267	17.0845271321407	11.8866999639808	12.8334690428022	3.34019221906136	18.6872799377766	1.14238167142097	0
INTS11	942.542206995995	1057.47780597773	797.59401413017	818.921718639229	1178.01657645908	1213.00142638199	1364.59315586499	480.7614941419	9.18552860241874	1271.71857681817	20.5628700855775	26.4569201319782
CPTP	43.0247504255072	10.5853634232005	22.6589208559707	29.0796944763071	16.7406992914902	0	19.0187199423693	3.94875970547761	1.67009610953068	29.5062314806999	7.99667169994682	5.03941335847204
TAS1R3	0	0	15.4080661820601	0	0	0	0	0	0	0	0	0
DVL1	29.0166921474351	6.35121805392028	18.1271366847766	30.9558037973592	3.52435774557689	20.3387227763579	13.4715932925116	10.8590891900634	3.34019221906136	27.5391493819866	3.42714501426292	10.0788267169441
MXRA8	0	0	0	15.9469292289426	0	0	3.16978665706154	0	0	11.80249259228	0	0
AURKAIP1	851.489828188527	88.917052754884	488.526333654729	316.124420597274	877.565078648646	127.727179035528	194.149432745019	62.1929653612724	59.2884118883392	341.288744126763	77.6819536566262	37.7956001885403
CCNL2	571.328662627084	1233.19483880286	752.276172418228	841.435030491854	949.814412432973	938.835443356682	752.824331052116	599.224285306228	173.689995391191	797.651791028255	174.784395727409	172.599907527668
MRPL20	2622.50862477336	2848.52129718325	2537.79913586872	2490.53512369662	1689.92953900412	2252.7169347094	2543.75379229189	2272.51121050237	1571.56043906837	2544.42069468569	1561.63574483247	467.405588998282
ANKRD65	0	0	0	0	0	0	0.792446664265386	0	0	0	0	0
TMEM88B	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	1.81271366847766	0	0	0	0	0	0	0	0	0
ATAD3C	12.0069070954904	19.0536541617608	2.71907050271649	15.0088745684166	1.76217887278845	2.44064673316295	0	14.8078488955411	0	4.91770524678332	0	15.1182400754161
ATAD3B	110.063315041995	58.2194988276026	123.264529456481	209.186189297306	68.7249760387494	130.167825768691	175.13071280265	16.7822287482799	0	150.48178055157	5.71190835710487	0
ATAD3A	130.074826867813	101.619488862725	145.017093478213	156.655128307848	107.492911240095	47.9993857522047	84.7917930763963	3.94875970547761	3.34019221906136	184.905717279053	1.14238167142097	3.77956001885403
TMEM240	0	0	0	0	0	0	0	0	3.34019221906136	0	0	0
SSU72	1851.0648438881	1545.46305978727	1530.83669302938	1675.3656236995	1244.97937362504	1569.33584942378	1743.38266138385	1120.46056642927	617.935560526352	1325.81333453278	685.429002852584	486.303389092552
FNDC10	1.00057559129087	21.1707268464009	0	17.8230385499947	11.4541626731249	15.457429310032	0	4.93594963184702	0	8.85186944420998	0	0
MIB2	12.0069070954904	2.11707268464009	1.81271366847766	12.1947105868385	0	0	0	10.8590891900634	0	4.91770524678332	0	0
MMP23B	0	0	0	0	0	0	0	0	0	1.96708209871333	0	0
