Full_CD8_V7_1	Full_CD8_V7_2	Full_CD8_V7_3	Full_CD8_V7_4	Full_CD8_monomer_1	Full_CD8_monomer_2	Full_CD8_monomer_3	Full_CD8_monomer_4	Full_CD8_control_1	Full_CD8_control_2	Full_CD8_control_3	Full_CD8_control_4
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	4.48576753685465	5.79210644339739	7.90406503566749	8.85815302995039	4.61357587652466	7.10345053386839	5.64057148668402	8.98402113429386	6.11859646844139	7.11172222908702	7.54835054259051	7.87040794051804
KLHL17	1.89412800147346	2.17594322304469	2.18670602022001	2.78587791092197	1.94203054467108	2.01648019255911	1.89211471011753	2.23635968646461	1.93967916581051	1.99831208388141	2.13352608988026	1.89033381620942
PLEKHN1	-0.383968006397615	-0.384643689127911	-0.384780746377453	-0.384727093990857	-0.384531700883157	-0.341950160002955	-0.384351390749421	0.0467372100909365	-0.384603119612268	-0.384381027542316	-0.384698732125118	-0.38468958713877
PERM1	-0.28540396284325	-0.285974746837613	-0.286090252128967	-0.175022047682601	-0.285880299954637	-0.247995070634734	-0.285728103207136	0.0152990073267606	-0.285940539081486	-0.285753130112215	-0.286021145534212	-0.286013437765911
HES4	-2.25436131198163	-2.2556847155744	-2.25601570658269	-2.25588283837965	-2.25543326014884	-2.25596251930715	-2.25505876984709	-2.25531639440534	-2.25559178814746	-2.24778380463819	-2.25581435549872	-2.25579252270469
ISG15	4.76058836799262	4.81636013038715	7.9876204946709	10.8859621859253	4.79904058881685	7.85184495945634	6.04742375539782	11.2193329054443	5.72450878881587	6.42185584364091	8.78067294950996	8.53181127625044
AGRN	-0.70893139224764	-0.709975790496511	-0.710043322466516	-0.610947114357485	-0.709920531939578	-0.710032853101875	-0.667134098406602	-0.709893622391577	-0.709955780399975	-0.590426849982907	-0.710002924477865	-0.67463213930251
RNF223	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	1.97300305185286	1.93011466654289	1.92088840339936	3.52175816162806	1.84337946517156	1.92233244909818	1.84707200354055	3.09176629681305	1.93280902302816	2.18416807501414	1.83989394392168	1.92704646394711
TTLL10	-0.176570757519826	-0.177057532565094	-0.177155830504591	-0.177117368478966	-0.138033691621914	-0.177140591141305	-0.133986012625878	-0.176937938897622	-0.177028407522814	-0.176868735984474	-0.0451144790244306	0.0398363045868092
TNFRSF18	1.87529323981253	1.91773896629698	1.99101495317952	2.69190318183475	1.96695136965649	2.16015276608595	1.92686050334483	2.13387644537643	2.00467348899763	2.06516677337934	1.99734850425595	1.9980518216617
TNFRSF4	1.86598629157063	1.9006777247433	1.88765817485954	3.30397303887967	1.83417105863857	1.88969916250708	1.84459845817728	2.16159086713952	1.82997116241091	2.06351075503394	1.8242841581726	1.74469642045411
SDF4	4.74080811114861	4.57245342575	5.31403898878704	5.70662468590903	4.47054602482424	5.17728838502072	5.08107608960778	5.66892041134595	4.95156089715468	4.98610067679072	4.87554600901292	5.47475199511844
B3GALT6	5.83261249991751	6.18937392860767	5.91903122810983	6.33484234583236	5.94356965446621	6.5025361831005	6.07526422417819	6.04423517365588	5.64468903049612	6.97006097386495	5.65126632201416	5.44313729276359
C1QTNF12	0	0	0	0	0	0	0	0	0	0	0	0
UBE2J2	4.92019274286553	4.71837032104878	5.70706334173534	6.40964690632932	4.58578899044031	4.97522971094426	4.84224682178353	6.2066471097809	4.97084435591256	5.00176303176429	5.81871990141121	5.08615749889551
SCNN1D	-1.08094028120785	-1.08766932261953	-1.08772625649066	-1.08770397822181	-1.08665972046433	-1.08771742924877	-1.08466160656434	-0.898023438651793	-1.08750555544617	-1.0849775793117	-1.08769219672322	-1.05071816336274
ACAP3	1.97677509804631	2.13849540197652	2.5671086583346	2.60248896355373	2.06646839261052	2.09164795929484	1.97491278727574	2.26625862366698	2.14232411602068	2.16299444045317	1.97322334669455	2.09695847641654
PUSL1	2.76191048263834	2.75342687401493	3.46280805162633	4.05307149804557	2.75484266842898	3.08869703715798	3.03287005912928	3.2811712364149	2.80963734970863	3.02902900027911	3.61441101109707	3.44604192584272
INTS11	5.60199128620534	4.80319178211049	8.02087985999262	9.58667674267929	5.22088370512572	7.63904490528666	6.96957117567945	9.49992336073245	6.18859210480985	6.83441344743081	9.03286888763268	8.50215417311748
CPTP	1.7308710116502	1.64949117291158	1.64514552664041	1.68912839411947	1.6530250067786	1.64582118748253	1.75822099932378	2.44892331966484	1.69608655007498	1.70841001349739	1.77010219115993	1.77100163982573
TAS1R3	0	0	0	0	0	0	0	0	0	0	0	0
DVL1	2.63447520600882	2.79871785910702	2.78496635298769	3.2313386010336	2.62988012766127	2.94927101973155	2.98457644048324	3.50323771815335	2.91164330272389	2.94380845203678	3.12370601204598	2.93086382533403
MXRA8	-2.25442611003264	-2.25552243796011	-2.25579663601134	-2.25568656594469	-2.25531412841111	-2.25575257485277	-2.25500389487494	-2.25521731502851	-2.25544545544779	-2.25505295381134	-2.24955408146162	-2.25561174704795
AURKAIP1	4.47291002260088	4.6846094476113	6.49470481806837	9.12402252569344	3.92292323306356	6.49161507286465	6.71352659503791	7.4769577922093	6.20882670183549	6.94518230213362	6.61350757446159	6.84303615187481
CCNL2	7.12396452394242	7.69953792742025	9.29997887516164	9.21955176032868	7.36887641022088	9.18952198464946	8.16362780715984	9.52939702437221	7.54788897571761	8.59244746471257	9.28109814278803	9.08384904931985
MRPL20	9.10977531545633	9.04965050845027	10.8465359493166	10.8392402075049	8.56631148546441	10.6514955447438	10.3073345633948	10.8366033179299	10.4154021106407	10.3602665377309	10.6430495162285	10.5658868138285
ANKRD65	0	0	0	0	0	0	0	0	0	0	0	0
TMEM88B	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3C	1.07136333588675	1.00608037931535	1.08748231209968	1.16644316030432	1.00637098783728	1.04833538559285	1.00683876300872	1.6223270190058	1.00618566395134	1.27958327130747	1.0059375206342	1.00596125658207
