Full_CD8_V7_1	Full_CD8_V7_2	Full_CD8_V7_3	Full_CD8_V7_4	Full_CD8_wtIL2_1	Full_CD8_wtIL2_2	Full_CD8_wtIL2_3	Full_CD8_wtIL2_4	Full_CD8_control_1	Full_CD8_control_2	Full_CD8_control_3	Full_CD8_control_4	Full_CD8_Mb_wtIL2_1	Full_CD8_Mb_wtIL2_2	Full_CD8_Mb_wtIL2_3	Full_CD8_Mb_wtIL2_4
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	1.8114350049842	0	0	0	0	0	0	0	0	0
NOC2L	2.57955365739671	35.9092191820011	318.973447395901	741.238558527987	8.39396577435279	95.3687257893853	39.8515701096524	75.6273103527064	52.7818544566285	149.909856976092	228.522534341085	308.87442874826	3.12962821466765	147.575828829543	653.003490024779	661.672963916255
KLHL17	0	6.44524446856431	6.61084865069226	29.2484211369555	1.39899429572546	0.908273578946527	0	0	0.942533115296937	2.12638095001549	5.25339159404792	0	0	1.60408509597329	6.73971491998052	0.859315537553577
PLEKHN1	0	0	0	0	0	1.81654715789305	0	0	0	0	0	0	0	0.802042547986644	1.49771442666234	2.57794661266073
PERM1	0	0	0	2.50700752602476	0	0	0	0	0	0	0	0	0	0	0.748857213331169	2.57794661266073
HES4	0	0	0	0	0	0	0	0	0	1.06319047500774	0	0	0	0	0	0
ISG15	6.44888414349176	8.28674288815411	293.356408874469	3476.383769421	18.186925844431	103.543187999904	28.0772425772551	6491.51680369943	30.161059689502	64.8546189754723	598.011076455788	478.228874056255	21.9073975026736	356.10689130607	3484.43261362993	5561.49015904675
AGRN	0	0	0	2.50700752602476	2.79798859145093	1.81654715789305	0	3.1079716583304	0	3.18957142502323	0	0.877484172580284	0	1.60408509597329	4.49314327998701	1.71863107510715
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	1.28977682869835	0.920749209794901	0.826356081336532	128.693053002604	0	1.81654715789305	0	40.4036315582952	0.942533115296937	4.25276190003097	0	0.877484172580284	0	0	181.972302839474	59.2927720911968
TTLL10	0	0	0	0	0	0	0	0	0	0	3.50226106269861	6.14238920806199	0	0	0	0
TNFRSF18	0	0.920749209794901	2.4790682440096	26.7414136109308	0	0.908273578946527	0	25.89976381942	2.82759934589081	4.25276190003097	2.62669579702396	2.63245251774085	0	4.81225528791987	43.4337183732078	25.7794661266073
TNFRSF4	1.28977682869835	1.8414984195898	1.65271216267306	131.200060528629	5.59597718290186	0.908273578946527	3.6228700099684	17.6118393972056	0.942533115296937	4.25276190003097	0.875565265674653	0	3.12962821466765	0	215.670877439377	33.5133059645895
SDF4	18.0568756017769	12.8904889371286	47.1022966361823	77.7172333067676	15.3889372529801	50.8633204210055	39.8515701096524	118.102923016555	27.3334603436112	28.706142825209	23.6402621732156	58.791439562879	7.82407053666914	41.7062124953055	40.4382895198831	92.8060780557864
B3GALT6	49.0115194905374	79.1844320423615	55.3658574495477	90.2522709368914	53.1617832375676	88.1025371578131	82.4202927267812	97.3831119610192	38.6438577271744	189.247904551378	38.5248716896848	28.0794935225691	31.2962821466765	95.4430632104107	58.4108626398312	73.0418206920541
C1QTNF12	0	0	0	0	0	0	0.905717502492101	0	0	0	0	0	0	0	0	0.859315537553577
UBE2J2	21.926206087872	15.6527365665133	67.7611986695956	148.749113210802	19.5859201401565	22.7068394736632	19.0200675523341	215.486034977574	24.5058609977204	25.5165714001858	77.9253086450442	28.9569776951494	31.2962821466765	44.1123401392654	118.319439706325	126.319384020376
SCNN1D	0	0	0	0	1.39899429572546	0	0	1.0359905527768	0	0	0	0.877484172580284	0	1.60408509597329	0	10.3117864506429
ACAP3	0	3.6829968391796	17.3534777080672	18.3847218575149	1.39899429572546	2.72482073683958	2.7171525074763	7.2519338694376	3.77013246118775	4.25276190003097	0	2.63245251774085	0	3.20817019194658	0	0
PUSL1	0	0	18.1798337894037	48.468812169812	0	19.0737451578771	0.905717502492101	71.4833481415992	0.942533115296937	5.31595237503871	24.5158274388903	17.5496834516057	0	18.4469786036928	104.091152653032	57.5741410160897
INTS11	21.926206087872	5.52449525876941	308.230818338526	1225.92668022611	11.1919543658037	88.1025371578131	32.6058300897156	479.663625935658	48.0691888801438	96.7503332257046	775.750825387743	479.983842401415	3.12962821466765	276.704679055392	1071.6146722769	1301.86303939367
CPTP	2.57955365739671	0.920749209794901	0.826356081336532	1.67133835068317	0	4.54136789473263	0.905717502492101	5.179952763884	1.88506623059387	2.12638095001549	3.50226106269861	3.50993669032113	0	5.61429783590651	33.6985745999026	22.342203976393
TAS1R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DVL1	0	3.6829968391796	3.30542432534613	16.7133835068317	0	11.8075565263048	0	19.6838205027592	6.59773180707856	7.4423333250542	13.1334789851198	7.01987338064227	4.69444232200148	25.6653615355726	19.4702875466104	23.2015195139466
MXRA8	0	0	0	0	0	0	0	0	0	0	0.875565265674653	0	0	0	0	0
AURKAIP1	5.15910731479341	9.20749209794901	94.2045932723647	1078.84890536599	4.19698288717639	108.992829473583	84.2317277317654	959.327251871317	70.6899836472703	149.909856976092	106.818962412308	134.255078404783	10.9536987513368	170.033020173169	1016.1992384904	641.049391014969
CCNL2	82.5457170366946	161.131111714108	758.594882666937	686.920062130784	135.70244668537	386.016271052274	130.423320358862	338.768910758014	136.667301718056	392.317285277857	747.732736886154	620.381310014261	195.601763416728	934.379568404441	781.058073504409	965.870664210221
MRPL20	398.541040067791	383.952420484474	2109.68707565217	2044.04680288552	623.951455893557	1631.25934778796	1470.88522404717	3719.20608446871	1445.8457988655	1361.94699848492	1759.01061874038	1632.99804517191	582.110847928184	1725.19352071927	1694.66387376843	1791.67289579921
ANKRD65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.99542885332467	0
TMEM88B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	0.908273578946527	0	0	0	0	0	0	0	0	2.24657163999351	0
ATAD3C	1.28977682869835	0	1.65271216267306	3.34267670136635	0	2.72482073683958	0.905717502492101	21.7558016083128	0	6.37914285004646	0	0	0	2.40612764395993	2.24657163999351	10.3117864506429
ATAD3B	1.28977682869835	1.8414984195898	13.2216973013845	147.077774860119	4.19698288717639	10.8992829473583	2.7171525074763	109.814998594341	1.88506623059387	3.18957142502323	21.0135663761917	23.6920726596677	1.56481410733383	6.41634038389315	175.981445132825	104.836495581536
ATAD3A	1.28977682869835	5.52449525876941	31.4015310907882	80.2242408327923	1.39899429572546	7.26618863157221	2.7171525074763	136.750752966538	4.71266557648469	4.25276190003097	41.1515674867087	24.5695568322479	7.82407053666914	15.2388084117462	86.1185795330844	123.741437407715
TMEM240	0	0	0	2.50700752602476	0	0	0	0	0	0	0	0	0	0	1.49771442666234	0
SSU72	309.546438887605	493.521576450067	775.948360375004	1160.74448454946	130.106469502468	712.086485894077	313.378255862267	1882.39483439545	413.772037615355	818.656665755962	719.714648384565	588.79187980137	245.675814851411	854.977356153763	1305.25812283623	1469.42956921662
FNDC10	0	0	1.65271216267306	0	1.39899429572546	3.63309431578611	1.8114350049842	19.6838205027592	0	0	0	0	0	1.60408509597329	0	6.01520876287504
MIB2	2.57955365739671	0	0	10.8636992794406	0	0	0	0	0	4.25276190003097	14.0090442507945	3.50993669032113	3.12962821466765	0.802042547986644	14.9771442666234	9.45247091308935
MMP23B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK11B	109.63103043936	53.4034541681043	90.8991689470185	568.255039232279	97.9296007007825	69.028791999936	48.9087451345734	270.393534274745	28.2759934589081	42.5276190003097	137.463746710921	86.8709330854481	53.2036796493501	66.5695314828915	390.90346535887	372.942943298253
SLC35E2B	107.051476781963	28.5432255036419	90.8991689470185	151.256120736827	64.3537376033714	168.938885684054	173.897760478483	74.5913197999296	220.552748979483	128.646047475937	202.255576370845	283.427387743432	179.95362234339	117.09821200605	220.912877932695	119.444859719947
CDK11A	9.02843780088847	11.9697397273337	23.9643263587594	10.8636992794406	2.79798859145093	4.54136789473263	1.8114350049842	6.2159433166608	15.080529844751	5.31595237503871	9.63121792242119	29.8344618677296	3.12962821466765	11.228595671813	5.24200049331818	11.1711019881965
NADK	6.44888414349176	24.8602286644623	90.072812865682	142.899428983411	13.9899429572546	60.8543297894173	15.3971975423657	58.0154709555008	32.9886590353928	12.7582857000929	106.818962412308	63.1788604257804	4.69444232200148	107.47370143021	179.725731199481	224.281355301484
GNB1	3005.18001086716	2159.15689696904	2338.58771018239	1946.27350937056	1043.6497446112	2227.08681557688	2766.96697011337	2156.9323308813	2511.85075226634	2452.78042584286	2429.69361224716	2571.90610983281	2243.94342991671	2894.5715556838	1951.52189794103	2328.74510677019
CALML6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM52	0	0	3.30542432534613	0	0	0	0	0	0	0	0	0	0	0	0	0
CFAP74	0	0	0	0	2.79798859145093	0	0	0	0	0	2.62669579702396	0	1.56481410733383	0.802042547986644	0	0
GABRD	0	0	0	0	0	0.908273578946527	0	1.0359905527768	0	0	0	0	0	0	0	0
PRKCZ	0	0	0	1.67133835068317	0	0	6.34002251744471	0	0	0	0	0	0	0.802042547986644	0	3.43726215021431
FAAP20	21.926206087872	23.0187302448725	33.0542432534613	87.7452634108666	2.79798859145093	8.17446221051874	28.9829600797472	85.9872158804744	31.1035928047989	4.25276190003097	6.12895685972257	13.1622625887043	3.12962821466765	49.7266379751719	79.3788646131039	43.8250924152324
SKI	72.2275024071077	82.8674288815411	75.1984034016244	111.144000320431	107.722560770861	49.955046842059	60.6830726669707	67.339385930492	116.87410629682	66.9809999254878	96.3121792242119	81.6060280499664	223.768417348737	50.5286805231586	80.8765790397662	75.6197673047148
MORN1	0	4.60374604897451	10.7426290573749	7.52102257807428	0	32.697848842075	19.9257850548262	14.5038677388752	1.88506623059387	9.56871427506968	0	2.63245251774085	1.56481410733383	32.0817019194658	29.9542885332467	15.4676796759644
RER1	559.763143655085	224.662807189956	234.685127099575	1113.11134155499	691.103182088379	202.545008105075	172.086325473499	578.082728449454	187.564089944091	280.682285402044	239.904882794855	155.31469854671	607.147873645525	226.175998532234	1796.50845478147	237.171088364787
PEX10	0	2.7622476293847	0	16.7133835068317	0	0	6.34002251744471	6.2159433166608	0	0	2.62669579702396	0	7.82407053666914	14.4367658637596	31.4520029599091	16.326995213518
PLCH2	0	2.7622476293847	1.65271216267306	2.50700752602476	0	6.35791505262569	0.905717502492101	3.1079716583304	0	1.06319047500774	0	9.65232589838312	3.12962821466765	0.802042547986644	5.24200049331818	0.859315537553577
PANK4	15.4773219443802	39.5922160211807	10.7426290573749	202.231940432664	93.7326178136061	20.8902923157701	19.9257850548262	118.102923016555	7.5402649223755	30.8325237752245	26.2669579702396	25.4470410048282	46.9444232200148	25.6653615355726	440.328041438727	285.292758467788
HES5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF14	20.6364292591736	28.5432255036419	51.234077042865	381.065143955764	71.3487090819987	38.1474903157541	31.7001125872235	304.581222516379	19.7931954212357	20.2006190251471	119.076876131753	85.9934489128678	35.990724468678	69.7777016748381	493.49690358524	635.893497789647
PRXL2B	38.6933048609506	34.0677207624113	30.5751750094517	2.50700752602476	27.9798859145093	17.257197999984	4.5285875124605	25.89976381942	29.2185265742051	4.25276190003097	31.5203495642875	9.65232589838312	64.1573784006869	20.0510636996661	29.9542885332467	29.2167282768216
MMEL1	0	0	0	1.67133835068317	0	0	0	0	0	0	0	0	0	0	0	0
TTC34	3.86933048609506	0	0	0	1.39899429572546	0	0	0	5.65519869178162	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	1.28977682869835	0	0	0	0	0	0	2.0719811055536	0	0	0	0	0	0	0	0
ARHGEF16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEGF6	0	1.8414984195898	0	5.01401505204952	0	0	3.6228700099684	6.2159433166608	0	0	0	0	0	2.40612764395993	0	0
TPRG1L	7.73866097219012	126.142641741901	161.96579194196	109.472661969748	12.5909486615292	163.489244210375	91.4774677517022	54.9074992971704	197.931954212357	242.407428301765	94.5610486928626	228.145884870874	21.9073975026736	103.463488690277	104.091152653032	219.125462076162
WRAP73	32.2444207174588	49.7204573289247	39.6650919041535	203.903278783347	34.9748573931366	26.3399337894493	38.9458526071603	180.262356183163	6.59773180707856	11.6950952250852	65.667394925599	68.4437654612621	79.8055194740252	64.9654463869182	172.237159066169	299.901122606198
TP73	0	1.8414984195898	2.4790682440096	28.412751961614	1.39899429572546	0	0.905717502492101	2.0719811055536	1.88506623059387	0	0	5.2649050354817	3.12962821466765	16.0408509597329	29.9542885332467	28.3574127392681
CCDC27	0	0	0	0	0	2.72482073683958	0	0	0	3.18957142502323	0	4.38742086290142	0	0	0	0
