dualCAR_CD8_monomer_1	dualCAR_CD8_monomer_2	dualCAR_CD8_monomer_3	dualCAR_CD8_monomer_4	dualCAR_CD8_control_1	dualCAR_CD8_control_2	dualCAR_CD8_control_3	dualCAR_CD8_control_4	dualCAR_CD8_V9_Mb_1	dualCAR_CD8_V9_Mb_2	dualCAR_CD8_V9_Mb_3	dualCAR_CD8_V9_Mb_4	dualCAR_CD8_V7_1	dualCAR_CD8_V7_2	dualCAR_CD8_V7_3	dualCAR_CD8_V7_4
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	4.41241235610426	0	0	0	0	0	0	0	0	0	18.787979838393	0	7.95977599996767
NOC2L	1.9789436711598	10.5880663492996	79.6066219586551	236.799463110929	0	5.10617640637485	287.655804469418	264.141657360325	1.01106594659385	18.5688767601362	171.697714746128	79.0888230115211	15.7572926281988	37.575959676786	118.745130015032	723.61599999706
KLHL17	0	0	0.717176774402298	0	3.31680091671511	0.638272050796856	13.1349682406127	4.37803851978439	4.0442637863754	0	28.0659726027325	0.75322688582401	0	0	0.813322808322136	4.34169599998236
PLEKHN1	0	0	0	4.41241235610426	1.1056003055717	0.638272050796856	0	0	0	0	0.825469782433308	0	0	0	1.62664561664427	0
PERM1	0	0	0	0	0	0	4.59723888421445	3.64836543315366	0	0	0	0	0	0	0	0
HES4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISG15	5.9368310134794	15.5706858077935	91.7986271234942	2829.82712438153	5.52800152785852	9.57408076195285	1186.08763212733	1117.85916871828	10.1106594659385	29.7102028162179	994.691087832136	2902.18319107991	5.56139739818782	34194.1233058752	124.438389673287	1532.61868799377
AGRN	0	0	0	2.94160823740284	0	1.91481615239057	0.656748412030635	0	0	7.42755070405449	0	0	0	37.575959676786	0	1.44723199999412
RNF223	0	0.622827432311741	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	0	2.49130972924696	0.717176774402298	19.1204535431185	0	0	33.4941690135624	43.7803851978439	8.08852757275081	0	0	1.50645377164802	0	9.39398991919649	1.62664561664427	285.828319998839
TTLL10	0	0	0.717176774402298	0	0	0	0	0	0	0	0	0	0	18.787979838393	0	0
TNFRSF18	0	6.22827432311741	6.45459096962069	11.7664329496114	0	1.91481615239057	7.22423253233699	4.37803851978439	2.0221318931877	1.4855101408109	2.47640934729992	0	0	9.39398991919649	4.06661404161068	29.6682559998795
TNFRSF4	0	3.73696459387044	2.1515303232069	7.3540205935071	0	0	14.448465064674	27.7275772919678	6.0663956795631	0.742755070405449	1.65093956486662	0	0	0	0	121.567487999506
SDF4	5.9368310134794	36.7468185063927	45.8993135617471	95.6022677155923	3.31680091671511	24.8926099810774	25.6131880691948	41.5913659379517	13.1438573057201	39.3660187314888	42.924428686532	61.7646046375689	6.48829696455245	93.9398991919649	35.786203566174	62.2309759997472
B3GALT6	20.7789085471779	100.27521660219	121.920051648391	72.0694018163696	24.3232067225775	58.0827566225139	27.5834333052867	19.7011733390298	9.09959351934466	62.3914259140577	60.2592941176315	98.6727220429454	25.9531878582098	112.727879030358	92.7188001487235	36.9044159998501
C1QTNF12	0	0.622827432311741	0	4.41241235610426	0	0	0	0	0	0	0	0	0	0	0	0
UBE2J2	7.9157746846392	20.5533052662874	19.3637729088621	114.722721258711	15.4784042780039	14.0419851175308	104.422997512871	88.2904434823186	15.1659891989078	12.6268361968926	105.660132151463	167.21636865293	5.56139739818782	140.909848787947	36.5995263744961	75.9796799996914
SCNN1D	0	0	0.717176774402298	0	0	0	4.59723888421445	2.1890192598922	0	0.742755070405449	0	0	0	0	0	0
ACAP3	0	4.98261945849392	7.17176774402298	10.2956288309099	1.1056003055717	1.27654410159371	9.85122618045953	9.48575012619951	0	3.71377535202724	7.42922804189977	3.01290754329604	0.926899566364636	28.1819697575895	0.813322808322136	14.4723199999412
PUSL1	0	1.86848229693522	19.3637729088621	4.41241235610426	1.1056003055717	1.91481615239057	16.4187103007659	10.2154232128302	0	2.22826521121635	11.5565769540663	2.25968065747203	0	18.787979838393	7.31990527489923	10.1306239999588
INTS11	2.9684155067397	44.2207476941336	171.405249082149	428.003998542113	3.31680091671511	39.5728671494051	480.739837606425	636.274931541998	1.01106594659385	75.0182621109503	321.93321514899	306.563342530372	0.926899566364636	37.575959676786	234.236968796775	455.878079998148
CPTP	0	0	4.30306064641379	13.2372370683128	3.31680091671511	0.638272050796856	14.448465064674	15.3231348192454	3.03319783978155	1.4855101408109	0.825469782433308	11.2984032873602	2.78069869909391	9.39398991919649	8.9465508915435	15.1959359999383
TAS1R3	0	0	0	2.94160823740284	0	0	0	0	0	0	0	0	0	0	0	0
DVL1	0	4.35979202618218	22.9496567808735	25.0036700179241	0	7.65926460956228	8.53772935639826	1.45934617326146	2.0221318931877	4.45653042243269	22.2876841256993	24.8564872321923	0.926899566364636	0	20.3330702080534	18.8140159999236
MXRA8	0	0	0	1.47080411870142	0	0	0	0	0	0	0	0	0.926899566364636	28.1819697575895	4.06661404161068	0
AURKAIP1	3.9578873423196	133.907897947024	102.556278739529	236.799463110929	1.1056003055717	79.7840063496071	370.406104385278	336.379292936767	11.1217254125324	109.184995349601	195.636338436694	244.045511006979	3.70759826545855	3410.01834066833	87.0255404904686	638.229311997407
CCNL2	79.157746846392	56.6772963403684	443.21524658062	428.003998542113	63.0192174175871	116.165513245028	411.781254343208	653.787085621136	176.936540653924	204.257644361498	633.960792908781	605.594416202504	59.3215722473367	1099.09682054599	704.33755200697	699.736671997157
MRPL20	240.441656045916	620.958950014805	1062.85597966421	1281.07038738894	226.648062642199	636.357234644466	841.294715811244	925.225473847768	315.452575337281	782.121089136937	1258.01594842836	1632.24266158063	241.92078682117	4621.84304024467	1085.78594911005	834.329247996611
ANKRD65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM88B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	2.1515303232069	5.88321647480568	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3C	1.9789436711598	0	0	1.47080411870142	2.21120061114341	1.91481615239057	0.656748412030635	10.945096299461	0	0	0	0	0	28.1819697575895	0.813322808322136	0
ATAD3B	0	0.622827432311741	10.7576516160345	69.1277935789667	1.1056003055717	0	21.0159491849803	37.9430005047981	4.0442637863754	2.22826521121635	76.7686897662977	85.1146380981132	0.926899566364636	159.69782862634	12.199842124832	154.853823999371
ATAD3A	1.9789436711598	1.86848229693522	8.60612129282758	86.7774430033838	0	1.91481615239057	52.5398729624508	40.1320197646903	1.01106594659385	5.19928549283814	37.9716099919322	80.5952767831691	0.926899566364636	948.792981838846	2.43996842496641	81.0449919996708
TMEM240	0	0	0	0	0	0.638272050796856	0	0	0	0	0	0	0	0	0	0
SSU72	192.94700793808	375.56494168398	593.822369205103	785.409399386558	32.0624088615794	235.52238674404	898.431827657909	773.453471828576	297.253388298592	359.493454076237	826.295252215741	693.721961843914	165.91502237927	7750.04168333711	681.56451337395	950.831423996138
FNDC10	0	2.49130972924696	0.717176774402298	0	0	0	0	8.02640395293805	0	0	3.30187912973323	0.75322688582401	0	0	0	0
MIB2	0	0	0	1.47080411870142	1.1056003055717	0.638272050796856	13.7917166526433	0	0	0.742755070405449	0.825469782433308	0	0	28.1819697575895	0	7.2361599999706
MMP23B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK11B	49.473591778995	45.4664025587571	17.9294193600575	313.281277283403	2.21120061114341	23.6160658794837	248.25089974758	302.084657865123	71.7856822081634	28.9674477458125	108.136541498763	149.892150278978	25.0262882918452	28.1819697575895	31.7195895245633	275.69769599888
SLC35E2B	46.5051762722553	156.329685510247	115.46546067877	63.2445771041611	330.574491365939	245.096467505993	162.873606183598	229.847022288681	62.6860886888187	170.090911122848	213.796673650227	60.2581508659208	42.6373800527733	65.7579294343754	65.879147474093	61.5073599997501
CDK11A	4.9473591778995	14.32503094317	16.4950658112529	5.88321647480568	0	2.55308820318743	3.28374206015318	8.75607703956878	16.1770551455016	1.4855101408109	3.30187912973323	8.28549574406411	0.926899566364636	9.39398991919649	4.06661404161068	27.4974079998883
NADK	5.9368310134794	44.8435751264453	65.9802632450115	69.1277935789667	5.52800152785852	5.74444845717171	129.379437170035	91.9388089154722	9.09959351934466	31.9384680274343	188.207110394794	65.5307390666889	7.41519653091709	28.1819697575895	81.3322808322136	107.818783999562
GNB1	1592.06018344806	1337.83332460562	1799.39652697537	838.35834765981	491.992135979408	1629.50854568437	1088.23211873476	1028.1093790627	1911.92570500897	2195.58398811851	1670.75083964502	1135.11291693678	2333.00620853979	3532.14020961788	1407.86178120562	1027.53471999583
CALML6	0	0	0	0	0	0	0	0	0	0	0	0	0	9.39398991919649	0	0
TMEM52	0	0.622827432311741	0	0	0	0	0	0	0	0	0	2.25968065747203	0	0	0	0
CFAP74	0	0	0	11.7664329496114	0	0.638272050796856	0	0	0	0	0	0	0	37.575959676786	0	2.89446399998824
GABRD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.813322808322136	0
PRKCZ	12.8631338625387	0	0	0	0	0	0	0	0	0	0	0	0	46.9699495959825	0	0
FAAP20	8.9052465202191	39.8609556679514	49.4851974337586	50.0073400358483	0	2.55308820318743	15.7619618887353	46.6990775443668	8.08852757275081	0	43.7498984689653	20.3371259172483	0.926899566364636	18.787979838393	6.50658246657709	84.6630719996561
